shell command : training/exp_runner.py --conf ./confs/dnerf_transformers_spring_Gaus.conf --scan_id -1
Loading data ...
find cameras.npz, assuming DTU dataset!
Finish loading data. Data-set size: 20
pretraining sdf...
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (0/20): loss = 0.64, rgb_loss = 0.64, eikonal_loss = 0.03, psnr = 3.09
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (1/20): loss = 0.39, rgb_loss = 0.38, eikonal_loss = 0.1, psnr = 6.56
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (2/20): loss = 0.39, rgb_loss = 0.36, eikonal_loss = 0.3, psnr = 7.61
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (3/20): loss = 0.3, rgb_loss = 0.28, eikonal_loss = 0.25, psnr = 10.31
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (4/20): loss = 0.27, rgb_loss = 0.25, eikonal_loss = 0.2, psnr = 11.15
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (5/20): loss = 0.27, rgb_loss = 0.25, eikonal_loss = 0.23, psnr = 11.21
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (6/20): loss = 0.28, rgb_loss = 0.25, eikonal_loss = 0.26, psnr = 11.35
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (7/20): loss = 0.27, rgb_loss = 0.25, eikonal_loss = 0.22, psnr = 11.54
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (8/20): loss = 0.3, rgb_loss = 0.28, eikonal_loss = 0.15, psnr = 9.83
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (9/20): loss = 0.26, rgb_loss = 0.24, eikonal_loss = 0.18, psnr = 11.48
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (10/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.13, psnr = 11.92
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (11/20): loss = 0.25, rgb_loss = 0.24, eikonal_loss = 0.11, psnr = 11.94
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (12/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.1, psnr = 12.18
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (13/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.1, psnr = 11.79
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (14/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.09, psnr = 11.91
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (15/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.1, psnr = 11.96
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (16/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.08, psnr = 11.77
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (17/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.08, psnr = 12.06
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (18/20): loss = 0.24, rgb_loss = 0.23, eikonal_loss = 0.07, psnr = 11.91
(sdf)dnerf_bun_2024_12_21_21_58_42 [0] (19/20): loss = 0.23, rgb_loss = 0.23, eikonal_loss = 0.08, psnr = 12.08
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (0/20): loss = 0.23, rgb_loss = 0.23, eikonal_loss = 0.08, psnr = 12.13
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (1/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.07, psnr = 12.2
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (2/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.07, psnr = 12.2
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (3/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.07, psnr = 12.28
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (4/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.06, psnr = 12.13
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (5/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.07, psnr = 12.41
(sdf)dnerf_bun_2024_12_21_21_58_42 [1] (6/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.07, psnr = 12.24
